COVID-19 Vaccinations in the United States
Date generated: Wed May 10 2023 11:05:23 GMT-0400 (Eastern Daylight Time)
'Other' includes doses of vaccine administered or delivered that are not from Pfizer-BioNTech Moderna J&J or Novavax.
					 'Original' includes primary series and booster vaccine doses that are not updated (bivalent) formulations.

Jurisdiction (State/Territory) or Federal Entity,Total doses distributed,Doses distributed per 100K pop,Doses distributed by jurisdiction per 100K of 18+ pop,Total doses administered by jurisdiction,Doses administered by jurisdiction per 100K pop,Doses administered by jurisdiction to 18+ pop,Doses administered by jurisdiction per 100K of 18+ pop,Residents with at least one dose,Percent of total pop with at least one dose,Residents 18+ with at least one dose,Percent of 18+ pop with at least one dose,Residents with a completed primary series,Percent of total pop with a completed primary series,Residents 18+ with a completed primary series,Percent of 18+ pop with a completed primary series,Total number of original Pfizer doses distributed,Total number of Pfizer updated booster doses distributed,Total number of original Moderna doses distributed,Total number of Moderna updated booster doses distributed,Total number of Janssen doses distributed,Total number of Novavax doses distributed,Total number of doses from other manufacturer distributed,Total number of Janssen doses administered,Total number of original Moderna doses administered,Total number of Moderna updated booster doses administered,Total number of original Pfizer doses administered,Total number of Pfizer updated booster doses administered,Total number of Novavax doses administered,Total number of doses from other manufacturer administered,Residents 65+ with at least one dose,Percent of 65+ pop with at least one dose,Residents 65+ with a completed primary series,Percent of 65+ pop with a completed primary series,Doses administered by jurisdiction to 65+ pop,Doses administered by jurisdiction per 100K of 65+ pop,Doses distributed by jurisdiction per 100K of 65+ pop,Residents 12+ with at least one dose,Percent of 12+ pop with at least one dose,Residents 12+ with a completed primary series,Percent of 12+ pop with a completed primary series,Doses administered by jurisdiction to 12+ pop ,Doses administered by jurisdiction per 100K of 12+ pop,Doses distributed by jurisdiction per 100K of 12+ pop,Residents 5+ with at least one dose,Percent of 5+ pop with at least one dose,Residents 5+ with a completed primary series,Percent of 5+ pop with a completed primary series,Doses administered by jurisdiction to 5+ pop,Doses administered by jurisdiction per 100K of 5+ pop,Doses distributed by jurisdiction per 100K of 5+ pop,Residents with an updated (bivalent) booster dose,Percent of pop with an updated (bivalent) booster dose,Residents 5+ with an updated (bivalent) booster dose,Percent of 5+ pop with an updated (bivalent) booster dose,Residents 12+ with an updated (bivalent) booster dose,Percent of 12+ pop with an updated (bivalent) booster dose,Residents 18+ with an updated (bivalent) booster dose,Percent of 18+ pop with an updated (bivalent) booster dose,Residents 65+ with an updated (bivalent) booster dose,Percent of 65+ pop with an updated (bivalent) booster dose,Children <5 with at least one dose,Total number of updated (bivalent) booster doses administered
South Carolina,14167805,275172,350903,8660305,168203,7970341,197406,3665139,71.2,3318569,82.2,3091305,60,2810770,69.6,6858095,N/A,5125140,N/A,466400,48700,N/A,234027,3124323,N/A,4676812,N/A,793,3342,994755,95,860594,91.8,2869832,306271,1512000,3532055,79.9,2990790,67.7,8403845,190133,320540,3645461,75.1,3081250,63.4,8622065,177546,291744,600382,11.7,599836,12.4,591108,13.4,576840,14.3,324837,34.7,N/A,N/A
South Dakota,2708815,306199,405780,1687837,190790,1513628,226741,745210,84.2,658389,95,588177,66.5,523935,78.5,1326385,N/A,882400,N/A,94000,5200,N/A,42525,590320,N/A,900719,N/A,115,254,196801,95,159562,95,528758,348163,1783630,706915,95,561402,76.1,1612756,218501,366998,739051,89.7,586593,71.2,1676739,203613,328942,154979,17.5,154899,18.8,151167,20.5,145812,21.8,74615,49.1,N/A,N/A
Tennessee,17138600,250962,322207,11316599,165710,10490076,197214,4412761,64.6,4018097,75.5,3852430,56.4,3527965,66.3,8759050,N/A,5670340,N/A,533400,21100,N/A,271243,4043666,N/A,6190457,N/A,1884,78641,1081978,94.6,992389,86.8,3528616,308609,1498930,4263740,73.1,3737447,64,11014695,188751,293692,4390387,68.4,3842990,59.9,11274306,175597,266933,717171,10.5,717160,11.2,707129,12.1,689304,13,354912,31,N/A,N/A
Texas,80605715,277990,373242,52457806,180915,45840819,212265,22306212,76.9,19009513,88,18402210,63.5,16006114,74.1,43584365,N/A,25478340,N/A,2667600,116900,N/A,1549503,17679660,N/A,29807952,N/A,6571,63210,3756354,95,3329375,89.2,11424699,305945,2158560,20954105,86.9,17529417,72.7,49848000,206829,334448,22145529,82,18360143,68,52152844,193123,298485,3248316,11.2,3243769,12,3162537,13.1,3044068,14.1,1262591,33.8,N/A,N/A
Utah,8412360,262398,369811,6158782,192104,5290194,232559,2421413,75.5,2027207,89.1,2146258,66.9,1818812,80,4652010,N/A,2420360,N/A,257900,10000,N/A,188781,1949498,N/A,3523826,N/A,1152,2926,388385,95,354397,95,1294699,353867,2299260,2251131,86.8,2018409,77.9,5801324,223794,324519,2393540,80.9,2134759,72.2,6102211,206284,284379,463829,14.5,463214,15.7,446593,17.2,421885,18.5,164029,44.8,N/A,N/A
Virginia,26760935,313524,400933,19570925,229288,17316265,259432,7790669,91.3,6776016,95,6554032,76.8,5699787,85.4,14050485,N/A,8071900,N/A,803400,35000,N/A,510127,6273342,N/A,10929884,N/A,2508,16726,1563880,95,1328626,95,4933339,363038,1969300,7324147,95,6180537,84.6,18563062,254046,366238,7709167,95,6505423,81,19396918,241554,333260,1784497,20.9,1781001,22.2,1730220,23.7,1659738,24.9,691481,50.9,N/A,N/A
Veterans Health,9883700,N/A,N/A,8694563,N/A,8690912,N/A,3729543,N/A,3727467,N/A,3059856,N/A,3058356,N/A,3780780,N/A,4250780,N/A,626900,12100,N/A,257902,4037439,N/A,3513952,N/A,601,38,1811760,N/A,1573071,N/A,4767586,N/A,N/A,3729412,N/A,3059777,N/A,8694350,N/A,N/A,3729429,N/A,3059783,N/A,8694373,N/A,N/A,878364,N/A,878364,N/A,878364,N/A,878334,N/A,568731,N/A,N/A,N/A
Virgin Islands,173200,162950,212497,155288,146098,145177,178116,75377,70.9,69956,85.8,59067,55.6,54805,67.2,115760,N/A,44240,N/A,3400,300,N/A,2355,45753,N/A,103029,N/A,9,N/A,21594,95,16345,79.8,46146,225344,845786,73751,82.5,57897,64.7,152473,170504,193682,75270,75.6,59035,59.3,155131,155716,173854,4162,3.9,4162,4.2,4150,4.6,4110,5,2335,11.4,N/A,N/A
Vermont,2581180,413658,506130,1759709,282010,1561131,306114,623691,95,543908,95,536961,86.1,467695,91.7,1244690,N/A,831220,N/A,74200,3500,N/A,54509,601962,N/A,886343,N/A,189,943,151729,95,133895,95,541516,433078,2064300,582433,95,502154,91.1,1662785,301803,468496,614291,95,530848,89.2,1738357,292187,433851,212324,34,211480,35.5,204448,37.1,195142,38.3,85403,68.3,N/A,N/A
Washington,25548175,335503,429249,17693855,232359,15739227,264443,6515060,85.6,5693121,95,5812366,76.3,5094028,85.6,12807915,N/A,7783800,N/A,777800,41300,N/A,495512,5863050,N/A,9305548,N/A,3988,21198,1298272,95,1188051,95,4539152,375222,2111900,6121022,94.2,5483812,84.4,16783997,258179,392993,6426835,89.8,5754636,80.4,17499931,244466,356897,1969873,25.9,1958719,27.4,1889375,29.1,1810908,30.4,708711,58.6,N/A,N/A
Wisconsin,16436825,282302,360786,12431416,213509,11252788,246997,4386004,75.3,3880412,85.2,3980884,68.4,3538630,77.7,8183105,N/A,5144600,N/A,457200,22800,N/A,338972,4215888,N/A,6529036,N/A,1536,5224,1081074,95,1008786,95,3940339,387355,1615820,4156207,83.1,3788926,75.8,11918078,238371,328750,4340701,79,3954304,72,12334851,224599,299290,1325163,22.8,1322064,24.1,1289844,25.8,1243396,27.3,595521,58.5,N/A,N/A
West Virginia,5503995,307117,384202,3096932,172806,2895196,202097,1212110,67.6,1114227,77.8,1071420,59.8,989064,69,2696125,N/A,1967420,N/A,172600,10200,N/A,68660,1244002,N/A,1571319,N/A,279,2352,354001,95,321917,87.7,1084354,295455,1499680,1177818,75.6,1044948,67.1,3031269,194582,353310,1208099,71.1,1069151,62.9,3089479,181828,323932,208879,11.7,208873,12.3,206950,13.3,203214,14.2,114780,31.3,N/A,N/A
Wyoming,1279735,221117,287565,852945,147375,789648,177439,353583,61.1,322868,72.6,307538,53.1,281832,63.3,585605,N/A,490040,N/A,49300,3600,N/A,29202,347508,N/A,410626,N/A,202,1259,97353,95,87114,87.8,283838,286188,1290330,342304,69.8,298671,60.9,830569,169255,260787,352219,64.8,306853,56.4,850281,156351,235320,65097,11.2,65090,12,64107,13.1,62464,14,34327,34.6,N/A,N/A
